STUDENT_ID,LOCATION,ZIP_CODE,ETHNICITY,SCIENCE_POINTS,TECHNOLOGY_POINTS,ENGINEERING_POINTS,ART_POINTS,MATH_POINTS,AVERAGE_STEAM_POINTS,PROFILE
4001,ADJUNTAS,00601,Asian,6,69,93,61,84,62.6,"I'm a sixth-grader fascinated by marine biology. Exploring underwater ecosystems and learning about marine creatures captivates my curiosity. When I'm not immersed in the world of science, I channel my artistic side into creating colorful marine-themed drawings."
4002,AGAWAM,01001,Caucasian,12,23,21,54,45,31,"Hi there! I'm a middle school eighth-grader, and my fascination lies in chemistry. Mixing chemicals and observing reactions spark my scientific curiosity. In my artistic moments, I express my creativity through digital art that visualizes the beauty of chemical reactions."
4003,AMHERST,03031,Caucasian,13,37,28,57,70,41,Hi there! I'm a first-grader who loves observing the sky. I enjoy drawing colorful sunsets and imagining the stories behind the clouds.
4004,AVON,06001,African American,5,93,58,86,65,61.4,"What's up! I'm a seventh-grader with a passion for computer programming. Writing code, creating simple games, and exploring the world of technology are my daily pursuits. Outside of coding, I express my artistic side through designing digital interfaces that blend functionality with aesthetic appeal."
4005,AVENEL,07001,Caucasian,14,35,53,67,45,42.8,Hey! I'm a second-grader with a fascination for insects. I love learning about different bugs and drawing pictures of them in their tiny habitats.
4006,NEW YORK,10001,African American,20,55,43,42,33,38.6,"Hey! I'm a middle school eighth-grader intrigued by civil engineering. Designing structures and understanding the principles of construction is my engineering journey. In my artistic pursuits, I sketch architectural wonders that merge precision with an artistic vision of a sustainable future."
4007,AMAWALK,10501,Asian,19,92,48,76,57,58.4,"What's up! I'm a third-grader with a passion for building simple machines. Whether it's a pulley or a lever, I enjoy creating mini-contraptions with my toys."
4008,FLORAL PARK,11001,African American,7,40,30,89,27,38.6,"Greetings! I'm a seventh-grade student with a passion for marine biology. Studying underwater ecosystems and marine life captivates my scientific curiosity. In my creative moments, I express my artistic flair through creating vibrant marine-themed drawings that blend science and art."
4009,ALIQUIPPA,15001,Caucasian,9,87,42,86,31,51,"Hello! I'm a first-grader who loves shapes. Drawing pictures using circles, squares, and triangles is my favorite way to express my creative side."
4010,ALEPPO,15310,Hispanic,19,92,39,61,66,55.4,"Hello! I'm an eighth-grader exploring the exciting world of robotics. Building and programming robots is not just a hobby but a thrilling adventure in technology. Outside of the tech realm, I express my artistic side through crafting sculptures that incorporate elements of engineering design."
4011,BETHLEHEM,18002,Caucasian,6,42,58,63,35,40.8,"Hello! I'm a seventh-grade student with a passion for physics. Understanding the laws of motion and exploring the wonders of the physical world captivates my scientific curiosity. In my artistic endeavors, I express my creative side through digital paintings that visualize the concepts of physics."
4012,WASHINGTON,20001,African American,6,70,26,90,66,51.6,"Hi there! I'm a seventh-grade student passionate about astronomy. Exploring the cosmos and learning about celestial bodies spark my scientific imagination. In my artistic endeavors, I create digital space-themed collages that capture the beauty and vastness of the universe."
4013,ALDIE,20105,African American,5,32,69,100,69,55,"What's up! I'm an eighth-grader deeply engrossed in the world of artificial intelligence. Coding algorithms, exploring machine learning, and understanding the potential of AI are my technological pursuits. In my downtime, I express my artistic side through creating digital artworks that reflect the harmony between code and creativity."
4014,ADVANCE,27006,Caucasian,20,39,67,37,44,41.4,"Hi, I'm a second-grader with a love for storytelling. I enjoy creating adventures for my stuffed animals and illustrating them in my own little picture books."
4015,ALCOLU,29001,Asian,12,23,69,92,72,53.6,"Hey there! I'm a middle school seventh-grader with a love for mathematics. Solving challenging problems and exploring mathematical patterns fuel my daily adventures. In my artistic pursuits, I create mathematical art that visualizes the elegance of mathematical concepts."
4016,AVONDALE ESTATES,30002,Caucasian,10,77,61,67,77,58.4,Greetings! I'm a third-grader who loves simple experiments. Mixing baking soda and vinegar to create fizzing reactions is my idea of a fun and messy science time.
4017,ORANGE PARK,32003,African American,5,84,97,52,88,65.2,"Greetings! I'm an eighth-grader fascinated by the world of environmental science. Studying ecosystems and advocating for sustainability are my scientific passions. In my creative moments, I create digital illustrations that highlight the importance of preserving our planet."
4018,ORLANDO,32801,Caucasian,20,54,78,100,93,69,Hey there! I'm a first-grader who adores animals. I enjoy drawing pictures of different pets and imagining what adventures they might have.
4019,LONG KEY,33001,Caucasian,9,72,62,53,43,47.8,"Hello! I'm a seventh-grade student with a passion for physics. Understanding the laws of motion and exploring the wonders of the physical world captivates my scientific curiosity. In my artistic endeavors, I express my creative side through digital paintings that visualize the concepts of physics."
4020,MOODY,35004,African American,15,91,80,57,33,55.2,"Hello! I'm a seventh-grade student with a passion for physics. Understanding the laws of motion and exploring the wonders of the physical world captivates my scientific curiosity. In my artistic endeavors, I express my creative side through digital paintings that visualize the concepts of physics."
4021,ADAMS,37010,African American,17,98,42,61,51,53.8,"In ninth grade, my passion lies in unraveling the mysteries of technology. Coding algorithms, exploring software development, and diving into the digital world are my go-to activities. Outside of technology, I enjoy creating intricate sculptures that bridge the gap between engineering precision and artistic expression."
4022,ALEXANDRIA,43001,African American,6,69,75,68,44,52.4,"Hi! I'm a first-grader who loves exploring nature. I'm fascinated by bugs and butterflies, and I express my creativity through colorful drawings of my little insect friends."
4023,BOWLING GREEN,43402,African American,20,95,73,83,29,60,Hello! I'm a second-grader with a passion for numbers. I love counting everything around me and creating colorful math drawings.
4024,ALEXANDRIA,46001,African American,6,97,94,44,83,64.8,"Hey there! I'm a second-grader with a knack for building. Whether it's with LEGO or blocks, I love creating towering structures. My artistic side shines when I draw imaginative cities with smiling faces."
4025,ALGONAC,48001,Hispanic,13,26,37,97,92,53,"What's up! I'm a third-grader who enjoys creating with clay. Whether it's making animals or shapes, molding clay allows me to explore my artistic side."
4026,SAGINAW,48601,African American,10,98,34,87,76,61,"What's up! I'm a third-grader who adores animals. I enjoy learning about different species and draw pictures of my favorite animals, imagining them in their natural habitats."
4027,MILO,50001,African American,19,41,70,70,22,44.4,"Hi, I'm a first-grader with a fascination for underwater life. Drawing pictures of fish and sea creatures is my way of exploring the depths of the ocean."
4028,CLINTON,52727,Hispanic,8,33,35,68,24,33.6,"Hello! I'm a first-grader who loves numbers. Counting is my superpower, and I express my creativity by making colorful patterns with my toys."
4029,ADELL,53001,Caucasian,15,69,30,39,81,46.8,"Hi there! I'm a senior focused on aerospace engineering. Understanding flight dynamics and designing innovative aircraft captivate my interest in both engineering and science. In my creative moments, I sketch futuristic aircraft concepts that merge technical precision with imaginative design."
4030,STODDARD,54658,African American,12,74,75,54,47,52.4,"Hi, I'm a second-grader with a passion for space. Rockets and planets amaze me, and I often draw pictures of colorful galaxies and stars."
4031,ALEXANDER,58838,African American,5,44,44,26,75,38.8,"What's up! I'm a high school junior with a deep interest in computer graphics. Designing virtual worlds and exploring the intersection of technology and art are my daily adventures. In my artistic pursuits, I create digital landscapes that push the boundaries of visual storytelling."
4032,ANTIOCH,60002,African American,13,84,70,38,79,56.8,Greetings! I'm a third-grader who enjoys hands-on experiments. Mixing colors and watching reactions unfold is my idea of a fantastic science adventure.
4033,CHESTERFIELD,63005,African American,13,26,30,94,83,49.2,"Hello! I'm a senior with a passion for biomedical research. Understanding the complexities of human biology and exploring medical advancements fuel my scientific curiosity. In my artistic endeavors, I create digital illustrations that visualize the intricate world of cells and molecules."
4034,METAIRIE,70001,African American,7,53,96,86,71,62.6,Hey there! I'm a first-grader with a love for stories. I enjoy creating imaginative tales and illustrate them with my own colorful drawings.
4035,PINE BLUFF,71601,Asian,17,100,24,54,40,47,"Greetings! I'm a high school junior with a love for astrophysics. Unraveling the mysteries of the cosmos and exploring celestial phenomena are my scientific pursuits. In my creative moments, I create digital space-themed collages that capture the beauty and vastness of the universe."
4036,TEXARKANA,71854,Hispanic,9,92,69,33,99,60.4,Hello! I'm a second-grader who's fascinated by technology. I enjoy playing educational games on my tablet and draw pictures of futuristic gadgets.
4037,TEMPLE,76501,Hispanic,18,36,22,20,68,32.8,"Hey! I'm a senior navigating the world of robotics. Building and programming robots are not just a hobby but a thrilling adventure in technology. Beyond the tech realm, I express my artistic side through crafting sculptures that incorporate elements of engineering design."
