STUDENT_ID,LOCATION,ZIP_CODE,ETHNICITY,SCIENCE_POINTS,TECHNOLOGY_POINTS,ENGINEERING_POINTS,ART_POINTS,MATH_POINTS,STEAM_POINTS,PROFILE
4001,ADJUNTAS,00601,Asian,16,23,49,4,91,,"Hi, I'm Alex! My passion for science drives me to conduct experiments and explore environmental research. I love applying the scientific method to understand the world around us."
4002,AGAWAM,01001,Caucasian,23,32,23,88,65,,"Hey there! I'm Emily, a tech enthusiast with a focus on artificial intelligence and machine learning. I'm determined to create smarter solutions that positively impact our daily lives."
4003,AMHERST,03031,Caucasian,43,8,99,13,68,,"Greetings! I'm Noah, an aspiring engineer fascinated by designing innovative structures and exploring the principles of technology. Building things and solving real-world problems excite me."
4004,AVON,06001,African American,73,23,39,18,59,,"Hello, I'm Ava! A digital artist at heart, I create visually appealing artwork using graphic design and multimedia techniques. Expressing emotions through art is my forte."
4005,AVENEL,07001,Caucasian,50,30,42,19,71,,"Hi, I'm Liam! A mathematician in the making, I find joy in solving complex problems and exploring the beauty of numbers. I enjoy unraveling mathematical mysteries."
4006,NEW YORK,10001,African American,2,43,42,49,83,,"Hey, I'm Isabella! Theater arts is my passion, and I enjoy bringing stories to life through acting and stage design. I believe the arts play a crucial role in expressing diverse perspectives."
4007,AMAWALK,10501,Asian,21,50,55,43,82,,"What's up! I'm Aiden, a coding enthusiast on a journey to explore the vast world of software development and programming. Creating efficient code is my forte."
4008,FLORAL PARK,11001,African American,30,26,40,24,56,,"Hi, I'm Sophia! Delving into the world of mathematics, I enjoy discovering the elegance and patterns within mathematical concepts. Numbers have a beauty of their own."
4009,ALIQUIPPA,15001,Caucasian,81,31,72,84,28,,"Greetings! I'm Jackson, an engineering aficionado interested in inventing and building, from robots to exciting tech projects. The process of turning ideas into reality fuels my curiosity."
4010,ALEPPO,15310,Hispanic,31,83,2,81,24,,"Hey, I'm Emma! Science captivates me, and I'm delving into genetics and molecular biology to understand the wonders of life. Exploring the building blocks of life is my goal."
4011,BETHLEHEM,18002,Caucasian,68,34,6,57,95,,"Hi there! I'm Daniel, a technology buff with a keen interest in coding and creating applications that make a positive impact. I believe technology can drive positive change in society."
4012,WASHINGTON,20001,African American,17,95,31,52,81,,"Hello, I'm Olivia! Expressing myself through various art forms, from traditional to digital, is my way of sharing creativity. Art has the power to evoke emotions and tell stories."
4013,ALDIE,20105,African American,88,19,82,71,92,,"Hey, I'm Ethan! A young tech explorer passionate about the wonders of virtual reality and creating immersive experiences. I believe VR has the potential to revolutionize how we experience the world."
